condition,n_samples,semantic_validation_passed,accuracy,relative_l2,ciphertext_count,slot_or_matrix_utilization,matrix_build_s,key_generation_s,encryption_s_total,linear1_s_total,activation_s_total,linear2_s_total,decryption_s_total,runtime_total_s,runtime_per_sample_s,speedup_vs_ckks_dense,speedup_vs_gl
ckks_pca32_packed_plainmatrix,64,True,0.953125,2.484339982133718e-08,1,0.25,0.010796540998853743,14.08708495798055,0.014275583002017811,8.270148999989033,0.049792292003985494,33.234841041004984,0.016825541999423876,94.60367079198477,1.478182356124762,1.0864002427770048,0.1707657415905076
gl_pca32_packed,64,True,0.953125,1.733199714180393e-08,1,0.0078125,0.33312912500696257,6.578302542009624,0.49373837499297224,3.1218270829995163,3.9920634170121048,1.0963115000049584,0.4980557079834398,16.155065999977523,0.2524229062496488,6.361933211300473,1.0
ckks_pca32_packed_dense,128,True,0.9453125,1.6835018084389636e-09,1,0.5,0.010543875017901883,1.0429819160199258,0.014202791993739083,79.13376108399825,0.04230229099630378,22.886033332993975,0.014162167004542425,103.15912841600948,0.8059306907500741,1.0,0.15815730634327124
ckks_pca32_packed_lightplainmatrix,128,True,0.9453125,1.7092316239240214e-08,1,0.5,0.012260459014214575,14.441844041983131,0.01456495898310095,20.135186875006184,0.0493794169742614,11.061070666008163,0.016854916990268975,52.014418958016904,0.40636264810950706,1.983279453708282,0.3136701361244564
ckks_pca32_packed_plainmatrix,128,True,0.9453125,1.2592450088364483e-08,1,0.5,0.010872124985326082,14.057282959023723,0.01455391600029543,8.448859500000253,0.0530735419888515,32.80006791697815,0.01694779098033905,94.32374970900128,0.7369042946015725,1.0936707746910643,0.17297202375149742
gl_pca32_packed,128,True,0.9453125,1.4611351214154063e-08,1,0.015625,0.33355095799197443,6.540305083995918,0.47017079099896364,3.2791256250056904,4.059694833995309,1.0895605830010027,0.5026754999998957,16.315369874995667,0.12746382714840365,6.3228188638314196,1.0
ckks_pca32_packed_dense,256,True,0.93359375,1.7086043580185255e-09,1,1.0,0.009845374996075407,1.0243609579920303,0.014052749989787117,79.2632566660177,0.044952708994969726,22.96863812499214,0.014154459000565112,103.35411754099187,0.4037270216444995,1.0,0.15974746355375388
ckks_pca32_packed_lightplainmatrix,256,True,0.93359375,1.5893830259737454e-08,1,1.0,0.011877290991833434,14.142087416985305,0.01452858402626589,20.127556458988693,0.04863129201112315,11.475678582995897,0.01691533299162984,52.3781099159969,0.2046019918593629,1.973231140007713,0.31521866962151435
ckks_pca32_packed_plainmatrix,256,True,0.93359375,1.671245106425383e-08,1,1.0,0.011159082991071045,14.053573042008793,0.01461137502337806,8.858257915999275,0.05224150000140071,33.11731308398885,0.016712334007024765,94.81873587498558,0.3703856870116624,1.0900178808253658,0.17412759169009018
gl_pca32_packed,256,True,0.93359375,1.5133162181236833e-08,1,0.03125,0.33208900000317954,6.512012874998618,0.5324281660141423,3.1677952090103645,4.088325499993516,1.324097915989114,0.5154462920036167,16.510558125009993,0.06449436767582029,6.259880299529808,1.0
ckks_pca32_packed_dense,450,True,0.9488888888888889,1.6585834720750943e-09,2,0.87890625,0.010089458024594933,1.043933333014138,0.029036792024271563,158.1044849170139,0.08208058401942253,45.37351624999428,0.027611332974629477,204.68416562501807,0.45485370138892905,1.0,0.07975710627221229
ckks_pca32_packed_lightplainmatrix,450,True,0.9488888888888889,1.758647315430458e-08,2,0.87890625,0.01182358301593922,14.400091792020248,0.032086167979286984,41.29179908198421,0.10153675000765361,23.047861207975075,0.03473441698588431,85.2616333750193,0.18947029638893179,2.4006596815325407,0.19146966934340612
ckks_pca32_packed_plainmatrix,450,True,0.9488888888888889,2.1939126823052e-08,2,0.87890625,0.011105208017397672,13.958581209008116,0.029903499002102762,17.580631457996788,0.1030337080010213,68.0208797089872,0.03430029097944498,138.99018554200302,0.3088670789822289,1.4726519345724756,0.11745445684767594
gl_pca32_packed,450,True,0.9488888888888889,1.49366482686556e-08,1,0.054931640625,0.32950762499240227,6.748270917014452,0.4800416670041159,3.1705193750094622,3.960121916985372,1.0910370839992538,0.5005490829935297,16.325016749993665,0.036277814999985926,12.538067725112594,1.0
